Pilulier;glucose;fructose;eau;mtot;xgluc;xfruct;xeau;n;alpha
1;5.9997;6.0304;7.998;20.0281;0.300;0.301;0.399;1.436;-44.38
2;6.9987;6.0199;6.9924;20.011;0.350;0.301;0.349;1.4485;-35.95
3;7.9946;6.0034;6.0601;20.0581;0.399;0.299;0.302;1.458;-28.17
4;8.9978;6.062;5.0422;20.102;0.448;0.302;0.251;1.4715;-19.02
5;10.0011;6.0389;4.03;20.07;0.498;0.301;0.201;1.488;-6.83
6;6.0066;6.9946;7.0827;20.0839;0.299;0.348;0.353;1.4475;-62.65
7;6.9945;7.0864;6.0424;20.1233;0.348;0.352;0.300;1.46;-59.32
8;8.0343;6.9936;5.0526;20.0805;0.400;0.348;0.252;1.474;-48.35
9;9.0592;7.0469;4.0465;20.1526;0.450;0.350;0.201;1.488;-40.05
10;5.9961;8.0175;6.0121;20.0257;0.299;0.400;0.300;1.4625;-89.79
11;7.0161;8.0264;5.2206;20.2631;0.346;0.396;0.258;1.473;-78.75
12;8.0029;8.005;4.0422;20.0501;0.399;0.399;0.202;1.486;-72.12
13;5.9965;8.9969;5.0139;20.0073;0.300;0.450;0.251;1.4745;-109.85
14;7.0082;9.0267;4.0396;20.0745;0.349;0.450;0.201;1.4875;-105.25
15;6.0193;10.0357;4.0123;20.0673;0.300;0.500;0.200;1.4855;-136.05
16;7.0014;10.0032;3.0654;20.07;0.349;0.498;0.153;1.5;-125.3
17;8.0069;9.0118;3.1386;20.1573;0.397;0.447;0.156;1.498;-104.2
18;9.0074;8.0132;3.011;20.0316;0.450;0.400;0.150;1.499;-56.67
19;10.01;7.0026;3.0601;20.0727;0.499;0.349;0.152;1.495;-32.67
